z,val,err,probe,type,RA,DEC
0.01029,32.3353,0.401367,sne_ia,mu,198.812,-17.9654
0.01051,32.901,0.309548,sne_ia,mu,198.251,-19.519
0.01051,32.8654,0.334488,sne_ia,mu,198.251,-19.519
0.0105,32.6457,0.409088,sne_ia,mu,220.599,-17.2468
0.0105,32.7458,0.360296,sne_ia,mu,220.599,-17.2468
0.0105,32.9015,0.334006,sne_ia,mu,220.599,-17.2468
0.01042,32.7794,0.348547,sne_ia,mu,150.023,-34.2337
0.01042,33.2788,0.247952,sne_ia,mu,150.023,-34.2337
0.01049,33.3806,0.309009,sne_ia,mu,352.127,22.4289
0.01049,33.2931,0.27457,sne_ia,mu,352.127,22.4289
0.01048,33.1081,0.364668,sne_ia,mu,111.677,47.0933
0.0104,33.5709,0.314858,sne_ia,mu,339.247,-25.232
0.01238,33.7337,0.342487,sne_ia,mu,35.4999,33.2705
0.01238,33.6369,0.29522,sne_ia,mu,35.4999,33.2705
0.01096,33.8347,0.353909,sne_ia,mu,83.206,-14.0961
0.01096,33.4336,0.283424,sne_ia,mu,83.206,-14.0961
0.01096,33.4947,0.325172,sne_ia,mu,83.206,-14.0961
0.01189,33.5833,0.281169,sne_ia,mu,64.1516,2.7642
0.01168,33.4974,0.301502,sne_ia,mu,178.463,33.3629
0.01275,33.8783,0.346381,sne_ia,mu,191.876,-39.58
0.01244,33.7023,0.266666,sne_ia,mu,57.4345,-3.2644
0.01142,33.7403,0.254135,sne_ia,mu,162.766,65.7797
0.0126,33.8286,0.265115,sne_ia,mu,45.9738,-11.9943
0.0122,33.708,0.24076,sne_ia,mu,311.827,0.3127
0.0122,33.7246,0.250097,sne_ia,mu,311.827,0.3127
0.01247,33.5874,0.26006,sne_ia,mu,129.063,28.0671
0.01247,33.5178,0.26619,sne_ia,mu,129.063,28.0671
0.01407,33.7492,0.416658,sne_ia,mu,288.445,-59.2897
0.01306,33.6365,0.287379,sne_ia,mu,74.2511,-4.7612
0.01306,33.5028,0.331124,sne_ia,mu,74.2511,-4.7612
0.01309,33.7355,0.239783,sne_ia,mu,55.5703,-4.7218
0.01309,33.7607,0.28722,sne_ia,mu,55.5703,-4.7218
0.01222,33.5752,0.292564,sne_ia,mu,130.204,73.4875
0.01222,33.5673,0.284786,sne_ia,mu,130.204,73.4875
0.01334,33.52,0.273536,sne_ia,mu,38.4987,20.9751
0.01334,33.4717,0.261601,sne_ia,mu,38.4987,20.9751
0.01288,33.9682,0.303693,sne_ia,mu,345.449,15.5865
0.01288,33.9846,0.299399,sne_ia,mu,345.449,15.5865
0.01288,33.9247,0.304606,sne_ia,mu,345.449,15.5865
0.0136,33.797,0.277855,sne_ia,mu,136.892,3.3923
0.0136,33.7683,0.232778,sne_ia,mu,136.892,3.3923
0.0136,33.772,0.235755,sne_ia,mu,136.892,3.3923
0.01314,33.7649,0.288791,sne_ia,mu,101.909,74.4975
0.01361,33.6741,0.345367,sne_ia,mu,159.439,-27.0825
0.01434,33.6968,0.233531,sne_ia,mu,311.485,-51.3944
0.014,33.8053,0.288803,sne_ia,mu,22.8622,14.2849
0.014,33.6651,0.296207,sne_ia,mu,22.8622,14.2849
0.01406,33.8206,0.250873,sne_ia,mu,162.206,-20.2639
0.01424,33.8444,0.265489,sne_ia,mu,37.3226,18.0879
0.01386,34.0187,0.307194,sne_ia,mu,338.531,5.5684
0.01386,34.0249,0.352338,sne_ia,mu,338.531,5.5684
0.01509,34.3366,0.370715,sne_ia,mu,202.774,-15.1018
0.01509,34.1781,0.396908,sne_ia,mu,202.774,-15.1018
0.01509,34.252,0.397235,sne_ia,mu,202.774,-15.1018
0.01416,33.9078,0.240515,sne_ia,mu,92.1302,64.7236
0.01504,34.1727,0.365029,sne_ia,mu,29.5657,36.3494
0.01457,33.7526,0.2163,sne_ia,mu,124.473,23.4696
0.0142,33.8826,0.249316,sne_ia,mu,308.226,9.9285
0.01422,33.9253,0.243928,sne_ia,mu,308.246,9.872
0.01503,33.7553,0.390506,sne_ia,mu,192.421,-11.0965
0.01503,33.7189,0.39282,sne_ia,mu,192.421,-11.0965
0.01448,33.8916,0.240694,sne_ia,mu,144.488,25.4948
0.01429,33.7894,0.397352,sne_ia,mu,310.973,12.5144
0.01472,34.0109,0.270222,sne_ia,mu,274.746,16.2482
0.01449,34.1902,0.372674,sne_ia,mu,310.972,12.5085
0.01402,33.8524,0.277558,sne_ia,mu,291.89,54.3865
0.01483,33.974,0.229564,sne_ia,mu,77.953,5.1943
0.01483,33.9261,0.231708,sne_ia,mu,77.953,5.1943
0.01509,33.8877,0.294985,sne_ia,mu,202.774,-15.1018
0.01495,34.1793,0.26677,sne_ia,mu,270.597,26.0521
0.01529,33.7706,0.30219,sne_ia,mu,14.3829,30.1852
0.01522,34.0334,0.344305,sne_ia,mu,24.8836,33.8268
0.01518,34.3426,0.372888,sne_ia,mu,272.027,25.4088
0.01566,34.0744,0.314862,sne_ia,mu,217.788,27.236
0.01572,34.0331,0.226465,sne_ia,mu,144.63,-63.9738
0.01493,34.2732,0.34036,sne_ia,mu,341.105,-0.1672
0.01534,34.2581,0.272528,sne_ia,mu,20.7391,33.4661
0.01534,34.2112,0.258071,sne_ia,mu,20.7391,33.4661
0.01534,33.9994,0.28632,sne_ia,mu,20.7391,33.4661
0.01534,33.8852,0.313932,sne_ia,mu,20.7391,33.4661
