z,val,err,probe,type,ra,dec,name
0.00122,28.9987,1.51645,sne_ia,mu,210.774,54.2737,2011fe
0.00122,29.0559,1.51747,sne_ia,mu,210.774,54.2737,2011fe
0.00256,30.7233,0.782372,sne_ia,mu,186.803,9.4203,2012cg
0.00256,30.7449,0.799068,sne_ia,mu,186.803,9.4203,2012cg
0.00299,30.7757,0.881212,sne_ia,mu,188.51,7.7016,1994DRichmond
0.00317,30.7946,0.614535,sne_ia,mu,188.623,2.1998,1981B
0.00331,30.4604,0.594683,sne_ia,mu,218.141,-44.2244,2013aa
0.00331,30.5528,0.580251,sne_ia,mu,218.141,-44.2244,2013aa
0.00331,30.4013,0.578445,sne_ia,mu,218.143,-44.1341,2017cbv
0.00331,30.5107,0.578546,sne_ia,mu,218.143,-44.1341,2017cbv
0.00333,31.5011,0.591006,sne_ia,mu,56.1275,-44.6398,2001el
0.00349,31.7933,0.55272,sne_ia,mu,178.94,55.3256,2011by
0.00349,31.4967,0.545492,sne_ia,mu,179.108,55.1287,1998aq
0.00359,31.6969,0.550993,sne_ia,mu,190.736,13.2565,1990N
0.00384,30.9999,0.566505,sne_ia,mu,56.1257,-44.6325,2021pit
0.00407,31.3933,0.476404,sne_ia,mu,64.4077,-62.7693,2005df
0.00407,31.3779,0.479276,sne_ia,mu,64.4077,-62.7693,2005df_ANU
0.00432,31.499,0.514259,sne_ia,mu,334.573,40.5693,2013dy
0.00432,31.5611,0.530838,sne_ia,mu,334.573,40.5693,2013dy
0.00465,31.9309,0.442017,sne_ia,mu,163.345,16.7764,2012ht
0.00465,32.033,0.420403,sne_ia,mu,163.345,16.7764,2012ht
0.00482,31.2476,0.558603,sne_ia,mu,50.7513,-37.2139,1980N
0.00483,31.1331,0.446882,sne_ia,mu,53.4,-36.1271,2012fr
0.00483,31.6525,0.564724,sne_ia,mu,54.7125,-35.5753,2007on
0.00483,31.2234,0.410577,sne_ia,mu,53.4,-36.1271,2012fr
0.00483,31.34,0.562589,sne_ia,mu,54.1142,-34.9587,1992A
0.00483,31.7635,0.574442,sne_ia,mu,54.7125,-35.5753,2007on
0.00488,31.4473,0.448264,sne_ia,mu,114.066,-69.5064,2015F
0.00488,31.539,0.407028,sne_ia,mu,114.066,-69.5064,2015F
0.00538,31.6512,0.514401,sne_ia,mu,133.952,78.2174,2011B
0.00548,31.7282,0.501431,sne_ia,mu,177.758,-28.7441,2018aoz
0.0057,31.9117,0.469628,sne_ia,mu,182.028,65.1772,2016coj
0.0057,31.8985,0.483668,sne_ia,mu,182.028,65.1772,SN2016coj
0.00571,31.6799,0.375913,sne_ia,mu,180.47,-18.9728,2007sr
0.00571,31.6292,0.385756,sne_ia,mu,180.47,-18.9728,2007sr
0.00587,31.7403,0.491367,sne_ia,mu,180.348,61.8927,2007gi
0.00588,32.1822,0.339643,sne_ia,mu,161.758,17.2752,1994ae
0.00592,32.4685,0.487055,sne_ia,mu,226.375,1.634,2015bp
0.00602,31.9404,0.344335,sne_ia,mu,121.394,-11.4379,2018gv
0.00602,32.0666,0.343707,sne_ia,mu,121.394,-11.4379,2018gv
0.00602,31.9102,0.350249,sne_ia,mu,121.394,-11.4379,2018gv
0.00616,30.9079,0.524992,sne_ia,mu,50.6599,-37.2327,1981D
0.00616,31.1857,0.452235,sne_ia,mu,50.6734,-37.2036,2006dd
0.00625,32.0667,0.32593,sne_ia,mu,215.588,-0.3938,2007af
0.00625,32.0023,0.36156,sne_ia,mu,215.588,-0.3938,2007af
0.00625,32.0999,0.322811,sne_ia,mu,215.588,-0.3938,2007af
0.00625,32.0337,0.339166,sne_ia,mu,215.588,-0.3938,2007af
0.0063,32.0754,0.533991,sne_ia,mu,354.702,-6.5226,2007le
0.0063,32.0843,0.537335,sne_ia,mu,354.702,-6.5226,2007le
0.0063,32.0203,0.538159,sne_ia,mu,354.702,-6.5226,2007le
0.00631,32.8333,0.562902,sne_ia,mu,21.5582,-6.1039,1998dm
0.00634,32.4001,0.482567,sne_ia,mu,186.129,75.5357,2014bv
0.00648,32.4608,0.318474,sne_ia,mu,157.342,29.5106,2019np
